"category","month_year","volume_product","sales_product"
informatica_acessorios,"04-2018",544,59651.2
ferramentas_jardim,"12-2017",325,27689.69
eletrodomesticos,"03-2018",70,9876.59
ferramentas_jardim,"06-2017",114,15851.17
eletronicos,"04-2018",214,11022.43
construcao_ferramentas_construcao,"04-2018",92,13293.83
alimentos_bebidas,"08-2017",15,494.81
relogios_presentes,"06-2018",481,86885.56
climatizacao,"06-2018",15,3567.9
moveis_decoracao,"02-2018",434,38646.52
"","06-2018",23,2387.13
construcao_ferramentas_iluminacao,"07-2018",55,7249.61
moveis_escritorio,"02-2017",63,11805.98
casa_conforto,"04-2018",18,1939.4
ferramentas_jardim,"01-2018",240,27037.94
construcao_ferramentas_jardim,"07-2018",25,1956.47
papelaria,"10-2017",101,8607.86
utilidades_domesticas,"04-2018",471,45405.96
brinquedos,"09-2017",297,31399.22
bebidas,"10-2017",12,596.98
moveis_decoracao,"06-2017",233,16943.58
fashion_bolsas_e_acessorios,"08-2017",99,6617.68
brinquedos,"04-2018",205,23352.38
eletronicos,"03-2018",261,12554.8
construcao_ferramentas_construcao,"02-2018",70,9043.44
telefonia,"03-2017",172,8121.05
informatica_acessorios,"08-2018",419,40293.93
automotivo,"08-2017",166,20421.11
eletrodomesticos_2,"01-2018",13,8630.1
alimentos,"02-2017",9,715.63
fashion_bolsas_e_acessorios,"07-2017",88,5193.1
perfumaria,"06-2018",192,27620.06
malas_acessorios,"10-2017",56,6240.34
relogios_presentes,"08-2017",212,36419.2
perfumaria,"10-2016",33,5688.7
moveis_escritorio,"04-2017",58,9411.3
papelaria,"09-2017",77,6130.41
pet_shop,"03-2017",45,8369.96
esporte_lazer,"04-2017",218,24864.33
bebes,"06-2018",227,30885.52
eletrodomesticos_2,"01-2017",8,2126.68
automotivo,"12-2017",268,39287.64
livros_tecnicos,"03-2018",17,913.47
pet_shop,"01-2018",90,10885.96
malas_acessorios,"05-2018",49,6618.46
livros_tecnicos,"06-2018",26,1747.43
bebidas,"12-2017",34,2132.84
utilidades_domesticas,"10-2017",236,16026.62
agro_industria_e_comercio,"03-2018",28,6019.0
relogios_presentes,"01-2018",370,75621.24
alimentos_bebidas,"12-2017",22,1098.68
telefonia,"09-2017",177,18559.25
ferramentas_jardim,"07-2018",179,26173.78
eletronicos,"02-2017",19,1218.85
automotivo,"05-2018",311,40928.14
malas_acessorios,"12-2017",47,6248.21
informatica_acessorios,"05-2017",320,45634.78
pet_shop,"06-2017",64,5243.57
utilidades_domesticas,"07-2017",276,20874.3
bebes,"10-2017",138,16497.5
musica,"06-2018",3,109.08
telefonia,"07-2018",225,26939.41
moveis_escritorio,"12-2017",49,6964.36
pet_shop,"08-2017",90,10500.79
industria_comercio_e_negocios,"03-2018",29,2922.45
moveis_decoracao,"02-2017",266,20986.1
moveis_escritorio,"11-2017",102,18048.2
eletronicos,"06-2018",191,9664.57
bebes,"12-2017",143,19943.08
informatica_acessorios,"05-2018",464,51515.73
construcao_ferramentas_ferramentas,"08-2018",14,1255.77
bebes,"11-2017",203,21738.78
moveis_escritorio,"03-2018",202,31301.62
perfumaria,"08-2018",223,25017.69
brinquedos,"10-2017",290,34633.01
"","08-2017",77,5243.4
pcs,"12-2017",23,16741.0
relogios_presentes,"12-2017",368,72096.62
malas_acessorios,"07-2018",54,5821.72
alimentos_bebidas,"04-2017",3,47.9
consoles_games,"09-2017",66,8910.37
utilidades_domesticas,"03-2017",204,13511.81
pet_shop,"07-2018",160,19583.74
eletronicos,"01-2018",351,15996.68
pcs,"08-2017",29,33700.0
cool_stuff,"01-2018",300,39739.7
instrumentos_musicais,"03-2018",55,10822.2
industria_comercio_e_negocios,"02-2018",37,4735.59
esporte_lazer,"01-2017",80,9717.62
ferramentas_jardim,"05-2018",291,37863.18
ferramentas_jardim,"03-2018",262,27612.25
telefonia_fixa,"03-2017",21,1592.35
casa_construcao,"06-2018",71,9094.59
construcao_ferramentas_construcao,"11-2017",47,6993.56
livros_interesse_geral,"02-2018",29,1912.65
bebidas,"05-2018",48,2790.98
livros_tecnicos,"04-2018",23,1172.1
esporte_lazer,"10-2016",19,3333.64
papelaria,"11-2017",166,16699.09
market_place,"08-2017",23,1937.39
livros_tecnicos,"12-2017",4,670.69
bebidas,"06-2018",33,1567.07
eletrodomesticos_2,"02-2018",21,8998.83
casa_conforto,"08-2018",16,2241.28
casa_construcao,"02-2018",39,5303.9
"","03-2018",135,17378.11
relogios_presentes,"06-2017",124,28948.63
"","07-2018",47,4612.0
agro_industria_e_comercio,"07-2018",30,7756.69
